basis_of_record	specific_epithet	species_id	country_code	latitude	longitude	year	coordinate_precision
UNKNOWN	Ursus arctos	2433433	NO	61,72238	10,60455	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,47033	13,41328	2004	100
UNKNOWN	Ursus arctos	2433433	NO	65,46696	14,15061	2004	50
UNKNOWN	Ursus arctos	2433433	NO	61,00215	11,13035	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,15742	11,22076	2004	100
UNKNOWN	Ursus arctos	2433433	NO	62,95243	11,1533	2004	100
UNKNOWN	Ursus arctos	2433433	NO	64,68464	12,53263	2005	100
UNKNOWN	Ursus arctos	2433433	NO	65,68137	13,42649	2005	100
UNKNOWN	Ursus arctos	2433433	NO	64,67936	12,5394	2005	100
UNKNOWN	Ursus arctos	2433433	NO	62,26737	10,95523	2005	100
UNKNOWN	Ursus arctos	2433433	NO	70,05198	28,02717	2005	100
UNKNOWN	Ursus arctos	2433433	NO	63,13631	10,49523	2005	50
UNKNOWN	Ursus arctos	2433433	NO	64,25085	11,67837	2006	100
UNKNOWN	Ursus arctos	2433433	NO	63,10668	10,95534	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,13918	11,1557	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,65639	13,5992	2006	100
UNKNOWN	Ursus arctos	2433433	NO	61,47129	10,79436	2006	100
UNKNOWN	Ursus arctos	2433433	NO	64,18922	14,04127	2006	50
UNKNOWN	Ursus arctos	2433433	NO	64,75782	12,70075	2006	50
UNKNOWN	Ursus arctos	2433433	NO	61,38044	10,6656	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,39713	11,08414	2007	100
UNKNOWN	Ursus arctos	2433433	NO	61,67859	10,50778	2007	100
UNKNOWN	Ursus arctos	2433433	NO	65,6309	13,80913	2007	50
UNKNOWN	Ursus arctos	2433433	NO	61,36238	6,15001	2008	100
UNKNOWN	Ursus arctos	2433433	NO	64,6627	12,61844	2008	100
UNKNOWN	Ursus arctos	2433433	NO	62,50542	8,96716	2008	50
UNKNOWN	Ursus arctos	2433433	NO	69,76749	29,63657	2008	100
UNKNOWN	Ursus arctos	2433433	NO	64,76596	12,71512	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,09389	10,87867	2008	100
UNKNOWN	Ursus arctos	2433433	NO	61,81895	11,03591	2008	100
UNKNOWN	Ursus arctos	2433433	NO	62,22942	11,09694	2008	100
